Name + ID,Salary,AvgPointsPerGame,Fight,Group
Marvin Vettori (16948706),9600,77.35,1,1
Kevin Holland (16948707),6600,83.98,1,1
Impa Kasanganay (16948732),9500,38.22,15,
Yorgan De Castro (16948725),9400,49.98,11,
Norma Dumont (16948722),9300,57.9,9,
Mateusz Gamrot (16948731),9200,55.47,8,
Joe Solecki (16948735),9100,111.79,7,
Julian Marquez (16948715),9000,59.49,4,
Ignacio Bahamondes (16948717),8900,0,10,
Daniel Rodriguez (16948719),8800,92.6,6,
Jack Shore (16948727),8700,105.54,12,
Luis Saldana (16948721),8600,0,13,
Sodiq Yusuff (16948709),8500,93.31,2,
Da-Un Jung (16948728),8400,72.79,14,
Nina Ansaroff (16948712),8300,57.36,5,
Aliaskhab Khizriev (16948711),8200,0,3,
Kyle Daukaus (16948710),8000,75.06,3,
Mackenzie Dern (16948713),7900,76.77,5,
William Knight (16948729),7800,86.17,14,
Arnold Allen (16948708),7700,67.92,2,
Jordan Griffin (16948720),7600,48.21,13,
Hunter Azure (16948726),7500,61.45,12,
Mike Perry (16948718),7400,59.18,6,
John Makdessi (16948716),7300,55.32,10,
Sam Alvey (16948714),7200,53.05,4,
Jim Miller (16948734),7100,61.3,7,
Scott Holtzman (16948730),7000,78.96,8,
Erin Blanchfield (16948723),6900,0,9,
Jarjis Danho (16948724),6800,29.94,11,
Sasha Palatnikov (16948733),6700,112.88,15,
